ActivoA,ActivoB,Algoritmo,Complejidad,Valor
MSFT,JNJ,Similitud por Coseno,O(n),0,040728
MSFT,V,Distancia Euclidiana,O(n),0,589979
MSFT,V,Correlacion de Pearson,O(n),0,429253
MSFT,V,Dynamic Time Warping (DTW),O(n*m),10,484466
MSFT,V,Similitud por Coseno,O(n),0,429752
MSFT,PG,Distancia Euclidiana,O(n),0,655722
MSFT,PG,Correlacion de Pearson,O(n),0,156290
MSFT,PG,Dynamic Time Warping (DTW),O(n*m),10,655771
MSFT,PG,Similitud por Coseno,O(n),0,156551
MSFT,UNH,Distancia Euclidiana,O(n),0,857945
MSFT,UNH,Correlacion de Pearson,O(n),0,134213
MSFT,UNH,Dynamic Time Warping (DTW),O(n*m),12,710232
MSFT,UNH,Similitud por Coseno,O(n),0,134339
MSFT,HD,Distancia Euclidiana,O(n),0,635985
MSFT,HD,Correlacion de Pearson,O(n),0,365666
MSFT,HD,Dynamic Time Warping (DTW),O(n*m),11,055836
MSFT,HD,Similitud por Coseno,O(n),0,365607
MSFT,MA,Distancia Euclidiana,O(n),0,584265
MSFT,MA,Correlacion de Pearson,O(n),0,462460
MSFT,MA,Dynamic Time Warping (DTW),O(n*m),10,502539
MSFT,MA,Similitud por Coseno,O(n),0,462870
MSFT,DIS,Distancia Euclidiana,O(n),0,686930
MSFT,DIS,Correlacion de Pearson,O(n),0,388685
MSFT,DIS,Dynamic Time Warping (DTW),O(n*m),11,610647
MSFT,DIS,Similitud por Coseno,O(n),0,387885
MSFT,PYPL,Distancia Euclidiana,O(n),0,877702
MSFT,PYPL,Correlacion de Pearson,O(n),0,414397
MSFT,PYPL,Dynamic Time Warping (DTW),O(n*m),15,488092
MSFT,PYPL,Similitud por Coseno,O(n),0,412788
MSFT,ADBE,Distancia Euclidiana,O(n),0,662012
MSFT,ADBE,Correlacion de Pearson,O(n),0,584098
MSFT,ADBE,Dynamic Time Warping (DTW),O(n*m),12,459030
MSFT,ADBE,Similitud por Coseno,O(n),0,583361
MSFT,NFLX,Distancia Euclidiana,O(n),0,890559
