ActivoA,ActivoB,Algoritmo,Complejidad,Valor
JPM,PG,Dynamic Time Warping (DTW),O(n*m),9,821924
JPM,PG,Similitud por Coseno,O(n),0,174077
JPM,UNH,Distancia Euclidiana,O(n),0,815010
JPM,UNH,Correlacion de Pearson,O(n),0,173261
JPM,UNH,Dynamic Time Warping (DTW),O(n*m),12,373619
JPM,UNH,Similitud por Coseno,O(n),0,173361
JPM,HD,Distancia Euclidiana,O(n),0,610508
JPM,HD,Correlacion de Pearson,O(n),0,364032
JPM,HD,Dynamic Time Warping (DTW),O(n*m),10,902026
JPM,HD,Similitud por Coseno,O(n),0,363888
JPM,MA,Distancia Euclidiana,O(n),0,546211
JPM,MA,Correlacion de Pearson,O(n),0,487749
JPM,MA,Dynamic Time Warping (DTW),O(n*m),10,187543
JPM,MA,Similitud por Coseno,O(n),0,488191
JPM,DIS,Distancia Euclidiana,O(n),0,623582
JPM,DIS,Correlacion de Pearson,O(n),0,466963
JPM,DIS,Dynamic Time Warping (DTW),O(n*m),11,367382
JPM,DIS,Similitud por Coseno,O(n),0,465798
JPM,PYPL,Distancia Euclidiana,O(n),0,899196
JPM,PYPL,Correlacion de Pearson,O(n),0,361855
JPM,PYPL,Dynamic Time Warping (DTW),O(n*m),16,129231
JPM,PYPL,Similitud por Coseno,O(n),0,359862
JPM,ADBE,Distancia Euclidiana,O(n),0,840815
JPM,ADBE,Correlacion de Pearson,O(n),0,266381
JPM,ADBE,Dynamic Time Warping (DTW),O(n*m),14,296431
JPM,ADBE,Similitud por Coseno,O(n),0,265641
JPM,NFLX,Distancia Euclidiana,O(n),0,979359
JPM,NFLX,Correlacion de Pearson,O(n),0,248801
JPM,NFLX,Dynamic Time Warping (DTW),O(n*m),15,369679
JPM,NFLX,Similitud por Coseno,O(n),0,249805
JPM,INTC,Distancia Euclidiana,O(n),1,094355
JPM,INTC,Correlacion de Pearson,O(n),0,297262
JPM,INTC,Dynamic Time Warping (DTW),O(n*m),19,314676
JPM,INTC,Similitud por Coseno,O(n),0,298095
JPM,CSCO,Distancia Euclidiana,O(n),0,577561
JPM,CSCO,Correlacion de Pearson,O(n),0,418764
JPM,CSCO,Dynamic Time Warping (DTW),O(n*m),10,272706
JPM,CSCO,Similitud por Coseno,O(n),0,419732
JNJ,V,Distancia Euclidiana,O(n),0,558892
JNJ,V,Correlacion de Pearson,O(n),0,224375
JNJ,V,Dynamic Time Warping (DTW),O(n*m),9,358378
JNJ,V,Similitud por Coseno,O(n),0,224948
JNJ,PG,Distancia Euclidiana,O(n),0,407849
JNJ,PG,Correlacion de Pearson,O(n),0,436835
JNJ,PG,Dynamic Time Warping (DTW),O(n*m),7,693514
JNJ,PG,Similitud por Coseno,O(n),0,436940
JNJ,UNH,Distancia Euclidiana,O(n),0,730822
JNJ,UNH,Correlacion de Pearson,O(n),0,201055
JNJ,UNH,Dynamic Time Warping (DTW),O(n*m),11,204756
JNJ,UNH,Similitud por Coseno,O(n),0,201143
JNJ,HD,Distancia Euclidiana,O(n),0,571115
JNJ,HD,Correlacion de Pearson,O(n),0,254498
JNJ,HD,Dynamic Time Warping (DTW),O(n*m),10,165495
JNJ,HD,Similitud por Coseno,O(n),0,254520
JNJ,MA,Distancia Euclidiana,O(n),0,585900
JNJ,MA,Correlacion de Pearson,O(n),0,204833
JNJ,MA,Dynamic Time Warping (DTW),O(n*m),9,898791
JNJ,MA,Similitud por Coseno,O(n),0,205358
JNJ,DIS,Distancia Euclidiana,O(n),0,713664
JNJ,DIS,Correlacion de Pearson,O(n),0,107074
JNJ,DIS,Dynamic Time Warping (DTW),O(n*m),11,484489
JNJ,DIS,Similitud por Coseno,O(n),0,106575
JNJ,PYPL,Distancia Euclidiana,O(n),0,991909
JNJ,PYPL,Correlacion de Pearson,O(n),0,051114
JNJ,PYPL,Dynamic Time Warping (DTW),O(n*m),17,071347
JNJ,PYPL,Similitud por Coseno,O(n),0,050121
JNJ,ADBE,Distancia Euclidiana,O(n),0,868446
JNJ,ADBE,Correlacion de Pearson,O(n),0,045977
JNJ,ADBE,Dynamic Time Warping (DTW),O(n*m),14,367239
JNJ,ADBE,Similitud por Coseno,O(n),0,045642
JNJ,NFLX,Distancia Euclidiana,O(n),1,024512
JNJ,NFLX,Correlacion de Pearson,O(n),0,018387
JNJ,NFLX,Dynamic Time Warping (DTW),O(n*m),16,190285
JNJ,NFLX,Similitud por Coseno,O(n),0,019250
JNJ,INTC,Distancia Euclidiana,O(n),1,161019
JNJ,INTC,Correlacion de Pearson,O(n),0,068101
JNJ,INTC,Dynamic Time Warping (DTW),O(n*m),20,152438
JNJ,INTC,Similitud por Coseno,O(n),0,068841
JNJ,CSCO,Distancia Euclidiana,O(n),0,588922
JNJ,CSCO,Correlacion de Pearson,O(n),0,177666
JNJ,CSCO,Dynamic Time Warping (DTW),O(n*m),9,474019
JNJ,CSCO,Similitud por Coseno,O(n),0,178544
V,PG,Distancia Euclidiana,O(n),0,543752
V,PG,Correlacion de Pearson,O(n),0,293747
V,PG,Dynamic Time Warping (DTW),O(n*m),9,288119
V,PG,Similitud por Coseno,O(n),0,293913
V,UNH,Distancia Euclidiana,O(n),0,775988
V,UNH,Correlacion de Pearson,O(n),0,217774
V,UNH,Dynamic Time Warping (DTW),O(n*m),12,005329
V,UNH,Similitud por Coseno,O(n),0,217856
V,HD,Distancia Euclidiana,O(n),0,576645
V,HD,Correlacion de Pearson,O(n),0,392369
V,HD,Dynamic Time Warping (DTW),O(n*m),10,402265
V,HD,Similitud por Coseno,O(n),0,392342
V,MA,Distancia Euclidiana,O(n),0,256867
V,MA,Correlacion de Pearson,O(n),0,879672
V,MA,Dynamic Time Warping (DTW),O(n*m),6,193939
V,MA,Similitud por Coseno,O(n),0,879746
V,DIS,Distancia Euclidiana,O(n),0,620650
V,DIS,Correlacion de Pearson,O(n),0,446643
V,DIS,Dynamic Time Warping (DTW),O(n*m),10,957611
V,DIS,Similitud por Coseno,O(n),0,445989
V,PYPL,Distancia Euclidiana,O(n),0,850389
V,PYPL,Correlacion de Pearson,O(n),0,436045
V,PYPL,Dynamic Time Warping (DTW),O(n*m),15,784110
V,PYPL,Similitud por Coseno,O(n),0,434707
V,ADBE,Distancia Euclidiana,O(n),0,738092
V,ADBE,Correlacion de Pearson,O(n),0,436693
V,ADBE,Dynamic Time Warping (DTW),O(n*m),13,524030
V,ADBE,Similitud por Coseno,O(n),0,436199
V,NFLX,Distancia Euclidiana,O(n),0,936794
V,NFLX,Correlacion de Pearson,O(n),0,310887
V,NFLX,Dynamic Time Warping (DTW),O(n*m),15,342390
V,NFLX,Similitud por Coseno,O(n),0,311476
V,INTC,Distancia Euclidiana,O(n),1,107092
V,INTC,Correlacion de Pearson,O(n),0,260531
V,INTC,Dynamic Time Warping (DTW),O(n*m),19,603493
V,INTC,Similitud por Coseno,O(n),0,261104
V,CSCO,Distancia Euclidiana,O(n),0,569697
V,CSCO,Correlacion de Pearson,O(n),0,393433
V,CSCO,Dynamic Time Warping (DTW),O(n*m),9,551027
V,CSCO,Similitud por Coseno,O(n),0,394044
PG,UNH,Distancia Euclidiana,O(n),0,738475
PG,UNH,Correlacion de Pearson,O(n),0,198473
PG,UNH,Dynamic Time Warping (DTW),O(n*m),11,378735
PG,UNH,Similitud por Coseno,O(n),0,198523
PG,HD,Distancia Euclidiana,O(n),0,543484
PG,HD,Correlacion de Pearson,O(n),0,350858
PG,HD,Dynamic Time Warping (DTW),O(n*m),9,860032
PG,HD,Similitud por Coseno,O(n),0,350881
PG,MA,Distancia Euclidiana,O(n),0,561351
PG,MA,Correlacion de Pearson,O(n),0,298426
PG,MA,Dynamic Time Warping (DTW),O(n*m),9,806031
PG,MA,Similitud por Coseno,O(n),0,298581
PG,DIS,Distancia Euclidiana,O(n),0,700504
PG,DIS,Correlacion de Pearson,O(n),0,168069
PG,DIS,Dynamic Time Warping (DTW),O(n*m),11,326801
PG,DIS,Similitud por Coseno,O(n),0,167863
PG,PYPL,Distancia Euclidiana,O(n),0,971842
PG,PYPL,Correlacion de Pearson,O(n),0,122343
PG,PYPL,Dynamic Time Warping (DTW),O(n*m),16,655143
PG,PYPL,Similitud por Coseno,O(n),0,121895
PG,ADBE,Distancia Euclidiana,O(n),0,841460
PG,ADBE,Correlacion de Pearson,O(n),0,141131
PG,ADBE,Dynamic Time Warping (DTW),O(n*m),13,981230
PG,ADBE,Similitud por Coseno,O(n),0,140991
PG,NFLX,Distancia Euclidiana,O(n),1,010309
PG,NFLX,Correlacion de Pearson,O(n),0,076631
PG,NFLX,Dynamic Time Warping (DTW),O(n*m),15,738859
PG,NFLX,Similitud por Coseno,O(n),0,076931
PG,INTC,Distancia Euclidiana,O(n),1,148647
PG,INTC,Correlacion de Pearson,O(n),0,114793
PG,INTC,Dynamic Time Warping (DTW),O(n*m),19,962705
PG,INTC,Similitud por Coseno,O(n),0,115049
PG,CSCO,Distancia Euclidiana,O(n),0,578137
PG,CSCO,Correlacion de Pearson,O(n),0,236916
PG,CSCO,Dynamic Time Warping (DTW),O(n*m),9,154311
PG,CSCO,Similitud por Coseno,O(n),0,237141
UNH,HD,Distancia Euclidiana,O(n),0,812428
UNH,HD,Correlacion de Pearson,O(n),0,170100
UNH,HD,Dynamic Time Warping (DTW),O(n*m),12,611021
UNH,HD,Similitud por Coseno,O(n),0,170122
UNH,MA,Distancia Euclidiana,O(n),0,797444
UNH,MA,Correlacion de Pearson,O(n),0,198767
UNH,MA,Dynamic Time Warping (DTW),O(n*m),12,505300
UNH,MA,Similitud por Coseno,O(n),0,198853
UNH,DIS,Distancia Euclidiana,O(n),0,910778
UNH,DIS,Correlacion de Pearson,O(n),0,100807
UNH,DIS,Dynamic Time Warping (DTW),O(n*m),13,547529
UNH,DIS,Similitud por Coseno,O(n),0,100693
UNH,PYPL,Distancia Euclidiana,O(n),1,111587
UNH,PYPL,Correlacion de Pearson,O(n),0,109066
UNH,PYPL,Dynamic Time Warping (DTW),O(n*m),17,410511
UNH,PYPL,Similitud por Coseno,O(n),0,108790
UNH,ADBE,Distancia Euclidiana,O(n),0,994483
UNH,ADBE,Correlacion de Pearson,O(n),0,135483
UNH,ADBE,Dynamic Time Warping (DTW),O(n*m),15,319825
UNH,ADBE,Similitud por Coseno,O(n),0,135402
UNH,NFLX,Distancia Euclidiana,O(n),1,167639
UNH,NFLX,Correlacion de Pearson,O(n),0,044713
UNH,NFLX,Dynamic Time Warping (DTW),O(n*m),17,112537
UNH,NFLX,Similitud por Coseno,O(n),0,044885
UNH,INTC,Distancia Euclidiana,O(n),1,271209
UNH,INTC,Correlacion de Pearson,O(n),0,094613
UNH,INTC,Dynamic Time Warping (DTW),O(n*m),19,387840
UNH,INTC,Similitud por Coseno,O(n),0,094748
UNH,CSCO,Distancia Euclidiana,O(n),0,826488
UNH,CSCO,Correlacion de Pearson,O(n),0,127357
UNH,CSCO,Dynamic Time Warping (DTW),O(n*m),11,652603
UNH,CSCO,Similitud por Coseno,O(n),0,127496
HD,MA,Distancia Euclidiana,O(n),0,576607
HD,MA,Correlacion de Pearson,O(n),0,420997
HD,MA,Dynamic Time Warping (DTW),O(n*m),10,751233
HD,MA,Similitud por Coseno,O(n),0,420977
HD,DIS,Distancia Euclidiana,O(n),0,653539
HD,DIS,Correlacion de Pearson,O(n),0,405612
HD,DIS,Dynamic Time Warping (DTW),O(n*m),11,714271
HD,DIS,Similitud por Coseno,O(n),0,405484
HD,PYPL,Distancia Euclidiana,O(n),0,893884
HD,PYPL,Correlacion de Pearson,O(n),0,366466
HD,PYPL,Dynamic Time Warping (DTW),O(n*m),16,089498
HD,PYPL,Similitud por Coseno,O(n),0,366095
HD,ADBE,Distancia Euclidiana,O(n),0,772232
HD,ADBE,Correlacion de Pearson,O(n),0,388163
HD,ADBE,Dynamic Time Warping (DTW),O(n*m),13,713281
HD,ADBE,Similitud por Coseno,O(n),0,388084
HD,NFLX,Distancia Euclidiana,O(n),0,989036
HD,NFLX,Correlacion de Pearson,O(n),0,226693
HD,NFLX,Dynamic Time Warping (DTW),O(n*m),15,442080
HD,NFLX,Similitud por Coseno,O(n),0,226716
HD,INTC,Distancia Euclidiana,O(n),1,119347
HD,INTC,Correlacion de Pearson,O(n),0,249604
HD,INTC,Dynamic Time Warping (DTW),O(n*m),18,991925
HD,INTC,Similitud por Coseno,O(n),0,249625
HD,CSCO,Distancia Euclidiana,O(n),0,597639
HD,CSCO,Correlacion de Pearson,O(n),0,369143
HD,CSCO,Dynamic Time Warping (DTW),O(n*m),10,431473
HD,CSCO,Similitud por Coseno,O(n),0,369026
MA,DIS,Distancia Euclidiana,O(n),0,612736
MA,DIS,Correlacion de Pearson,O(n),0,478297
MA,DIS,Dynamic Time Warping (DTW),O(n*m),11,398224
MA,DIS,Similitud por Coseno,O(n),0,477706
MA,PYPL,Distancia Euclidiana,O(n),0,844864
MA,PYPL,Correlacion de Pearson,O(n),0,451263
MA,PYPL,Dynamic Time Warping (DTW),O(n*m),15,852924
MA,PYPL,Similitud por Coseno,O(n),0,450039
MA,ADBE,Distancia Euclidiana,O(n),0,734116
MA,ADBE,Correlacion de Pearson,O(n),0,454069
MA,ADBE,Dynamic Time Warping (DTW),O(n*m),13,368497
MA,ADBE,Similitud por Coseno,O(n),0,453633
MA,NFLX,Distancia Euclidiana,O(n),0,930650
MA,NFLX,Correlacion de Pearson,O(n),0,333550
MA,NFLX,Dynamic Time Warping (DTW),O(n*m),15,699176
MA,NFLX,Similitud por Coseno,O(n),0,334053
MA,INTC,Distancia Euclidiana,O(n),1,108663
MA,INTC,Correlacion de Pearson,O(n),0,267693
MA,INTC,Dynamic Time Warping (DTW),O(n*m),19,643260
MA,INTC,Similitud por Coseno,O(n),0,268199
MA,CSCO,Distancia Euclidiana,O(n),0,580399
MA,CSCO,Correlacion de Pearson,O(n),0,401095
MA,CSCO,Dynamic Time Warping (DTW),O(n*m),9,820709
MA,CSCO,Similitud por Coseno,O(n),0,401616
DIS,PYPL,Distancia Euclidiana,O(n),0,878854
DIS,PYPL,Correlacion de Pearson,O(n),0,433641
DIS,PYPL,Dynamic Time Warping (DTW),O(n*m),15,386785
DIS,PYPL,Similitud por Coseno,O(n),0,433884
DIS,ADBE,Distancia Euclidiana,O(n),0,832551
DIS,ADBE,Correlacion de Pearson,O(n),0,355571
DIS,ADBE,Dynamic Time Warping (DTW),O(n*m),14,187338
DIS,ADBE,Similitud por Coseno,O(n),0,355687
DIS,NFLX,Distancia Euclidiana,O(n),0,916208
DIS,NFLX,Correlacion de Pearson,O(n),0,405966
DIS,NFLX,Dynamic Time Warping (DTW),O(n*m),15,605852
DIS,NFLX,Similitud por Coseno,O(n),0,405188
DIS,INTC,Distancia Euclidiana,O(n),1,123168
DIS,INTC,Correlacion de Pearson,O(n),0,292186
DIS,INTC,Dynamic Time Warping (DTW),O(n*m),19,324586
DIS,INTC,Similitud por Coseno,O(n),0,291559
DIS,CSCO,Distancia Euclidiana,O(n),0,673908
DIS,CSCO,Correlacion de Pearson,O(n),0,358558
DIS,CSCO,Dynamic Time Warping (DTW),O(n*m),11,169969
DIS,CSCO,Similitud por Coseno,O(n),0,357596
PYPL,ADBE,Distancia Euclidiana,O(n),0,916323
PYPL,ADBE,Correlacion de Pearson,O(n),0,453432
PYPL,ADBE,Dynamic Time Warping (DTW),O(n*m),16,632539
PYPL,ADBE,Similitud por Coseno,O(n),0,453527
PYPL,NFLX,Distancia Euclidiana,O(n),1,019048
PYPL,NFLX,Correlacion de Pearson,O(n),0,425710
PYPL,NFLX,Dynamic Time Warping (DTW),O(n*m),16,963377
PYPL,NFLX,Similitud por Coseno,O(n),0,424143
PYPL,INTC,Distancia Euclidiana,O(n),1,257823
PYPL,INTC,Correlacion de Pearson,O(n),0,268173
PYPL,INTC,Dynamic Time Warping (DTW),O(n*m),20,821866
PYPL,INTC,Similitud por Coseno,O(n),0,266911
PYPL,CSCO,Distancia Euclidiana,O(n),0,929146
PYPL,CSCO,Correlacion de Pearson,O(n),0,298718
PYPL,CSCO,Dynamic Time Warping (DTW),O(n*m),16,176099
PYPL,CSCO,Similitud por Coseno,O(n),0,296958
ADBE,NFLX,Distancia Euclidiana,O(n),0,979377
ADBE,NFLX,Correlacion de Pearson,O(n),0,394307
ADBE,NFLX,Dynamic Time Warping (DTW),O(n*m),16,550876
ADBE,NFLX,Similitud por Coseno,O(n),0,393715
ADBE,INTC,Distancia Euclidiana,O(n),1,206686
ADBE,INTC,Correlacion de Pearson,O(n),0,251045
ADBE,INTC,Dynamic Time Warping (DTW),O(n*m),19,926548
ADBE,INTC,Similitud por Coseno,O(n),0,250594
ADBE,CSCO,Distancia Euclidiana,O(n),0,793611
ADBE,CSCO,Correlacion de Pearson,O(n),0,343595
ADBE,CSCO,Dynamic Time Warping (DTW),O(n*m),13,760366
ADBE,CSCO,Similitud por Coseno,O(n),0,342856
NFLX,INTC,Distancia Euclidiana,O(n),1,309230
NFLX,INTC,Correlacion de Pearson,O(n),0,219222
NFLX,INTC,Dynamic Time Warping (DTW),O(n*m),21,713071
NFLX,INTC,Similitud por Coseno,O(n),0,219942
NFLX,CSCO,Distancia Euclidiana,O(n),0,975283
NFLX,CSCO,Correlacion de Pearson,O(n),0,245881
NFLX,CSCO,Dynamic Time Warping (DTW),O(n*m),15,793539
NFLX,CSCO,Similitud por Coseno,O(n),0,246824
INTC,CSCO,Distancia Euclidiana,O(n),1,079889
INTC,CSCO,Correlacion de Pearson,O(n),0,317592
INTC,CSCO,Dynamic Time Warping (DTW),O(n*m),19,297941
INTC,CSCO,Similitud por Coseno,O(n),0,318351
